circID	seqnames	start	end	width	strand	type	gene_id	SameGflag	OverGflag	OverGeneID	OverGeneName	circAtlas	circBank	circBase	circPedia	Ntools
cRNA_0032	chr13	54875723	54879265	3543	+	JNC-JNC	ENSMUSG00000034918.9	TRUE	1	NA	NA	mmu-Cdhr2_0001	mmu_Cdhr2_0001000		MMU_CIRCpedia_40267	3
cRNA_0033	chr13	55381708	55395890	14183	+	JNC-JNC	ENSMUSG00000021488.9	TRUE	1	NA	NA	mmu-Nsd1_0028	mmu_Nsd1_0039000	mm9_circ_000476	MMU_CIRCpedia_23107	4
cRNA_0034	chr13	55393331	55395890	2560	+	FULLEX	ENSMUSG00000021488.9	TRUE	NA	NA	NA	mmu-Nsd1_0026	mmu_Nsd1_0054000		MMU_CIRCpedia_23113	3
cRNA_0035	chr13	58178227	58198952	20726	-	JNC-JNC	ENSMUSG00000014164.16	TRUE	1	NA	NA	mmu-Klhl3_0001	mmu_Klhl3_0013000		MMU_CIRCpedia_24055	3
cRNA_0036	chr13	58545863	58546969	1107	*	UNKNOWN	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
cRNA_0037	chr13	59643147	59692265	49119	-	JNC-JNC	ENSMUSG00000021557.16	TRUE	1	NA	NA	mmu-Agtpbp1_0001	mmu_Agtpbp1_0092000		MMU_CIRCpedia_24537	3
cRNA_0038	chr13	77231560	77240530	8971	-	JNC-JNC	ENSMUSG00000021597.17	TRUE	1	NA	NA	mmu-Ankrd32_0010	mmu_Slf1_0031000		MMU_CIRCpedia_29507	3
cRNA_0039	chr13	84399349	84408359	9011	+	JNC-JNC	ENSMUSG00000035762.12	TRUE	1	NA	NA	mmu-Tmem161b_0007	mmu_Tmem161b_0003000	mm9_circ_007721	MMU_CIRCpedia_31573	4
cRNA_0040	chr13	93478264	93492587	14324	+	JNC-JNC	ENSMUSG00000007617.19	TRUE	1	NA	NA	mmu-Homer1_0005	mmu_Homer1_0005000	mm9_circ_010239	MMU_CIRCpedia_34495	4
cRNA_0041	chr13	94361403	94369688	8286	-	JNC-JNC	ENSMUSG00000021687.15	TRUE	1	NA	NA	mmu-Scamp1_0001	mmu_Scamp1_0012000		MMU_CIRCpedia_34729	3
cRNA_0042	chr13	94638426	94668574	30149	+	JNC-JNC	ENSMUSG00000021686.7	TRUE	1	NA	NA	mmu-Ap3b1_0005	mmu_Ap3b1_0100000		MMU_CIRCpedia_34868	3
cRNA_0043	chr13	98402659	98409360	6702	+	JNC-JNC	ENSMUSG00000021661.17	TRUE	1	NA	NA	mmu-Ankra2_0001	mmu_Ankra2_0001000		MMU_CIRCpedia_35770	3
cRNA_0044	chr13	101893834	101894547	714	-	FULLEX	ENSMUSG00000041417.16	TRUE	NA	NA	NA	mmu-Pik3r1_0005	mmu_Pik3r1_0019000		MMU_CIRCpedia_568	3
cRNA_0045	chr13	104003157	104025793	22637	-	JNC-JNC	ENSMUSG00000021709.15	TRUE	1	NA	NA	mmu-Erbb2ip_0002	mmu_Erbin_0078000		MMU_CIRCpedia_1066	3
cRNA_0046	chr13	104020651	104025793	5143	-	JNC-JNC	ENSMUSG00000021709.15	TRUE	1	NA	NA	mmu-Erbb2ip_0035	mmu_Erbin_0089000	mm9_circ_013774	MMU_CIRCpedia_1069	4
cRNA_0047	chr13	107119032	107124583	5552	-	JNC-JNC	ENSMUSG00000021693.21	TRUE	1	NA	NA	mmu-Kif2a_0004	mmu_Kif2a_0039000		MMU_CIRCpedia_1967	3
cRNA_0048	chr13	107874907	107884898	9992	-	JNC-JNC	ENSMUSG00000032846.13	TRUE	1	NA	NA	mmu-Zswim6_0009	mmu_Zswim6_0011000	mm9_circ_010567	MMU_CIRCpedia_2159	4
cRNA_0049	chr13	109876921	109909214	32294	+	JNC-JNC	ENSMUSG00000021699.18	TRUE	1	NA	NA	mmu-Pde4d_0001	mmu_Pde4d_0085000		MMU_CIRCpedia_2649	3
cRNA_0050	chr13	114058783	114104326	45544	+	JNC-JNC	ENSMUSG00000042348.11	TRUE	1	NA	NA	mmu-Arl15_0002	mmu_Arl15_0008000		MMU_CIRCpedia_3630	3
cRNA_0051	chr12	3492474	3507209	14736	+	JNC-JNC	ENSMUSG00000037486.19	TRUE	1	NA	NA	mmu-Asxl2_0023	mmu_Asxl2_0004000	mm9_circ_007078	MMU_CIRCpedia_17303	4
cRNA_0052	chr12	3492474	3534608	42135	+	JNC-JNC	ENSMUSG00000037486.19	TRUE	1	NA	NA	mmu-Asxl2_0022	mmu_Asxl2_0007000		MMU_CIRCpedia_17307	3
cRNA_0053	chr12	3667606	3698389	30784	+	JNC-JNC	ENSMUSG00000071454.14	TRUE	1	NA	NA	mmu-Dtnb_0002	mmu_Dtnb_0034000	mm9_circ_018538	MMU_CIRCpedia_18044	4
cRNA_0054	chr12	3667606	3736862	69257	+	JNC-JNC	ENSMUSG00000071454.14	TRUE	1	NA	NA	mmu-Dtnb_0003	mmu_Dtnb_0035000	mm9_circ_001407	MMU_CIRCpedia_18045	4
cRNA_0055	chr12	3682810	3698389	15580	+	JNC-JNC	ENSMUSG00000071454.14	TRUE	1	NA	NA	mmu-Dtnb_0028	mmu_Dtnb_0048000	mm9_circ_006216	MMU_CIRCpedia_18081	4
cRNA_0056	chr12	3885027	3923428	38402	+	JNC-JNC	ENSMUSG00000020661.16	TRUE	1	NA	NA	mmu-Dnmt3a_0007,mmu-Dnmt3a_0033	mmu_Dnmt3a_0006000,mmu_Dnmt3a_0013000		MMU_CIRCpedia_18870	3
cRNA_0057	chr12	5011218	5056791	45574	+	JNC-JNC	ENSMUSG00000052812.6	TRUE	1	NA	NA	mmu-Atad2b_0021	mmu_Atad2b_0103000	mm9_circ_015239	MMU_CIRCpedia_21595	4
cRNA_0058	chr12	13532387	13534045	1659	+	JNC-JNC	ENSMUSG00000020576.11	TRUE	1	NA	NA	mmu-Nbas_0002	mmu_Nbas_0199000		MMU_CIRCpedia_8172	3
cRNA_0059	chr12	31674114	31680892	6779	-	JNC-JNC	ENSMUSG00000020650.16	TRUE	1	NA	NA	mmu-Bcap29_0001	mmu_Bcap29_0017000		MMU_CIRCpedia_16203	3
cRNA_0060	chr12	35135938	35157555	21618	+	JNC-JNC	ENSMUSG00000020590.17	TRUE	1	NA	NA	mmu-Snx13_0040	mmu_Snx13_0047000		MMU_CIRCpedia_17616	3
cRNA_0061	chr12	37397258	37464988	67731	+	JNC-JNC	ENSMUSG00000050103.19	TRUE	1	NA	NA	mmu-Agmo_0001	mmu_Agmo_0002000		MMU_CIRCpedia_38820	3
cRNA_0062	chr12	51668563	51708496	39934	-	JNC-JNC	ENSMUSG00000020954.17	TRUE	1	NA	NA	mmu-Strn3_0030	mmu_Strn3_0019000	mm9_circ_011824	MMU_CIRCpedia_22126	4
cRNA_0063	chr12	51694777	51708496	13720	-	JNC-JNC	ENSMUSG00000020954.17	TRUE	1	NA	NA	mmu-Strn3_0028	mmu_Strn3_0058000	mm9_circ_016984	MMU_CIRCpedia_22140	4
cRNA_0064	chr12	51702185	51708496	6312	-	JNC-JNC	ENSMUSG00000020954.17	TRUE	1	NA	NA	mmu-Strn3_0031	mmu_Strn3_0077000	mm9_circ_004275	MMU_CIRCpedia_22143	4
cRNA_0065	chr12	51806002	51807953	1952	-	JNC-JNC	ENSMUSG00000035247.17	TRUE	1	NA	NA	mmu-Hectd1_0012	mmu_Hectd1_0027000	mm9_circ_002888	MMU_CIRCpedia_22183	4
cRNA_0066	chr12	51819057	51819488	432	-	JNC-JNC	ENSMUSG00000035247.17	TRUE	1	NA	NA	mmu-Hectd1_0024	mmu_Hectd1_0046000	mm9_circ_008488	MMU_CIRCpedia_22192	4
cRNA_0067	chr12	53186164	53189551	3388	+	FULLEX	ENSMUSG00000061603.9	TRUE	NA	NA	NA	mmu-Akap6_0008,mmu-Akap6_0032	mmu_Akap6_0070000,mmu_Akap6_0075000	mm9_circ_007720	MMU_CIRCpedia_22533	4
cRNA_0068	chr12	55454254	55461283	7030	+	JNC-JNC	ENSMUSG00000021024.15	TRUE	1	NA	NA	mmu-Psma6_0002	mmu_Psma6_0003000		MMU_CIRCpedia_23153	3
cRNA_0069	chr12	55784996	55786354	1359	-	JNC-JNC	ENSMUSG00000021027.18	TRUE	1	NA	NA	mmu-Ralgapa1_0012	mmu_Ralgapa1_0117000		MMU_CIRCpedia_23273	3
cRNA_0070	chr12	57350131	57354250	4120	+	JNC-JNC	ENSMUSG00000047022.19	TRUE	1	NA	NA	mmu-Mipol1_0018,mmu-Mipol1_0040	mmu_Mipol1_0012000,mmu_Mipol1_0022000		MMU_CIRCpedia_23802	3
cRNA_0071	chr12	57372310	57379245	6936	+	JNC-JNC	ENSMUSG00000047022.19	TRUE	1	NA	NA	mmu-Mipol1_0010	mmu_Mipol1_0028000	mm9_circ_017659	MMU_CIRCpedia_23808	4
cRNA_0072	chr12	57372310	57411020	38711	+	JNC-JNC	ENSMUSG00000047022.19	TRUE	1	NA	NA	mmu-Mipol1_0009	mmu_Mipol1_0029000		MMU_CIRCpedia_23809	3
cRNA_0073	chr12	59097054	59098494	1441	-	JNC-JNC	ENSMUSG00000020993.10	TRUE	1	NA	NA	mmu-Trappc6b_0001	mmu_Trappc6b_0005000		MMU_CIRCpedia_24378	3
cRNA_0074	chr12	69349098	69350736	1639	+	JNC-JNC	ENSMUSG00000020978.11	TRUE	1	NA	NA	mmu-Klhdc2_0003,mmu-Klhdc2_0011	mmu_Klhdc2_0003000,mmu_Klhdc2_0009000	mm9_circ_005129	MMU_CIRCpedia_27142	4
cRNA_0075	chr12	75531906	75562572	30667	-	JNC-JNC	ENSMUSG00000021051.11	TRUE	1	NA	NA	mmu-Ppp2r5e_0007	mmu_Ppp2r5e_0014000		MMU_CIRCpedia_29068	3
cRNA_0076	chr12	78841019	78844164	3146	+	JNC-JNC	ENSMUSG00000021112.10	TRUE	1	NA	NA	mmu-Mpp5_0018	mmu_Mpp5_0006000		MMU_CIRCpedia_29994	3
cRNA_0077	chr12	81151381	81152785	1405	+	JNC-JNC	ENSMUSG00000021136.14	TRUE	1	NA	NA	mmu-Smoc1_0004	mmu_Smoc1_0002000	mm9_circ_017591	MMU_CIRCpedia_30710	4
cRNA_0078	chr12	82387436	82389273	1838	+	FULLEX	ENSMUSG00000042700.17	TRUE	NA	NA	NA	mmu-Sipa1l1_0031	mmu_Sipa1l1_0048000	mm9_circ_007155	MMU_CIRCpedia_31036	4
cRNA_0079	chr12	82404007	82419316	15310	+	JNC-JNC	ENSMUSG00000042700.17	TRUE	1	NA	NA	mmu-Sipa1l1_0001	mmu_Sipa1l1_0066000		MMU_CIRCpedia_31045	3
cRNA_0080	chr12	83621406	83621910	505	-	FULLEX	ENSMUSG00000042628.9	TRUE	NA	NA	NA	mmu-Zfyve1_0002	mmu_Zfyve1_0028000		MMU_CIRCpedia_31341	3
cRNA_0081	chr12	84344785	84355206	10422	+	JNC-JNC	ENSMUSG00000072946.13	TRUE	1	NA	NA	mmu-Ptgr2_0009	mmu_Ptgr2_0018000	mm9_circ_005034	MMU_CIRCpedia_31596	4
cRNA_0082	chr12	85075544	85080808	5265	+	JNC-JNC	ENSMUSG00000021244.16	TRUE	1	NA	NA	mmu-Ylpm1_0009	mmu_Ylpm1_0010000	mm9_circ_015402	MMU_CIRCpedia_31932	4
cRNA_0083	chr12	85910338	85926249	15912	+	JNC-JNC	ENSMUSG00000012609.20	TRUE	1	NA	NA	mmu-Ttll5_0044	mmu_Ttll5_0059000		MMU_CIRCpedia_32173	3
cRNA_0084	chr12	86303642	86315835	12194	+	JNC-JNC	ENSMUSG00000021254.10	TRUE	1	NA	NA	mmu-Gpatch2l_0009	mmu_Gpatch2l_0010000	mm9_circ_016628	MMU_CIRCpedia_32350	4
cRNA_0085	chr12	98719037	98730237	11201	+	JNC-JNC	ENSMUSG00000021012.17	TRUE	1	NA	NA	mmu-Zc3h14_0004	mmu_Zc3h14_0006000		MMU_CIRCpedia_35866	3
cRNA_0086	chr12	99307681	99355176	47496	-	JNC-JNC	ENSMUSG00000033713.13	TRUE	1	NA	NA	mmu-Foxn3_0007	mmu_Foxn3_0029000		MMU_CIRCpedia_36124	3
cRNA_0087	chr12	99354620	99355176	557	-	FULLEX	ENSMUSG00000033713.13	TRUE	NA	NA	NA	mmu-Foxn3_0001	mmu_Foxn3_0035000		MMU_CIRCpedia_36126	3
cRNA_0088	chr12	101655219	101660932	5714	-	JNC-JNC	ENSMUSG00000021187.15	TRUE	1	NA	NA	mmu-Tc2n_0009	mmu_Tc2n_0035000		MMU_CIRCpedia_555	3
cRNA_0089	chr12	101849515	101856877	7363	-	JNC-JNC	ENSMUSG00000021188.15	TRUE	1	NA	NA	mmu-Trip11_0002	mmu_Trip11_0046000		MMU_CIRCpedia_586	3
cRNA_0090	chr12	107955724	107956089	366	-	FULLEX	ENSMUSG00000048251.16	TRUE	NA	NA	NA	mmu-Bcl11b_0009,mmu-Bcl11b_0008	mmu_Bcl11b_0019000,mmu_Bcl11b_0020000	mm9_circ_001140	MMU_CIRCpedia_2209	4
cRNA_0091	chr12	108124013	108131431	7419	-	JNC-JNC	ENSMUSG00000056770.16	TRUE	1	NA	NA	mmu-Setd3_0002	mmu_Setd3_0007000		MMU_CIRCpedia_2248	3
cRNA_0092	chr12	111186245	111209972	23728	+	JNC-JNC	ENSMUSG00000021277.17	TRUE	1	NA	NA	mmu-Traf3_0002	mmu_Traf3_0012000		MMU_CIRCpedia_3119	3
cRNA_0093	chr12	111559011	111570998	11988	+	JNC-JNC	ENSMUSG00000007411.17	TRUE	1	NA	NA	mmu-Mark3_0014	mmu_Mark3_0002000	mm9_circ_000427	MMU_CIRCpedia_3203	4
cRNA_0094	chr12	111559011	111584817	25807	+	JNC-JNC	ENSMUSG00000007411.17	TRUE	1	NA	NA	mmu-Mark3_0013	mmu_Mark3_0004000	mm9_circ_011801	MMU_CIRCpedia_3204	4
cRNA_0095	chr12	111744454	111755893	11440	+	JNC-JNC	ENSMUSG00000021288.20	TRUE	1	NA	NA	mmu-Klc1_0007	mmu_Klc1_0021000		MMU_CIRCpedia_3241	3
cRNA_0096	chr12	111744454	111755920	11467	+	JNC-JNC	ENSMUSG00000021288.20	TRUE	1	NA	NA	mmu-Klc1_0006	mmu_Klc1_0023000		MMU_CIRCpedia_3242	3
cRNA_0097	chr12	111824644	111838867	14224	-	JNC-JNC	ENSMUSG00000021285.16	TRUE	1	NA	NA	mmu-Ppp1r13b_0003	mmu_Ppp1r13b_0023000	mm9_circ_012091	MMU_CIRCpedia_3259	4
cRNA_0098	chr12	116281450	116287830	6381	+	JNC-JNC	ENSMUSG00000021171.9	TRUE	1	NA	NA	mmu-Esyt2_0012	mmu_Esyt2_0007000	mm9_circ_015704	MMU_CIRCpedia_4012	4
cRNA_0099	chr11	4467741	4481305	13565	-	JNC-JNC	ENSMUSG00000034354.18	TRUE	1	NA	NA	mmu-Mtmr3_0023	mmu_Mtmr3_0045000		MMU_CIRCpedia_20534	3
cRNA_0100	chr11	4467741	4496268	28528	-	JNC-JNC	ENSMUSG00000034354.18	TRUE	1	NA	NA	mmu-Mtmr3_0025,mmu-Mtmr3_0031	mmu_Mtmr3_0050000,mmu_Mtmr3_0046000		MMU_CIRCpedia_20535	3
cRNA_0101	chr11	4758257	4770493	12237	-	JNC-JNC	ENSMUSG00000009073.17	TRUE	1	NA	NA	mmu-Nf2_0002	mmu_Nf2_0050000		MMU_CIRCpedia_21260	3
cRNA_0102	chr11	6063243	6075561	12319	-	JNC-JNC	ENSMUSG00000053838.15	TRUE	1	NA	NA	mmu-Nudcd3_0001	mmu_Nudcd3_0012000		MMU_CIRCpedia_25037	3
cRNA_0103	chr11	6143154	6143476	323	-	FULLEX	ENSMUSG00000053838.15	TRUE	NA	NA	NA	mmu-Nudcd3_0002	mmu_Nudcd3_0031000	mm9_circ_005786	MMU_CIRCpedia_25157	4
cRNA_0104	chr11	6263788	6267080	3293	+	JNC-JNC	ENSMUSG00000020456.18	TRUE	1	NA	NA	mmu-Ogdh_0003	mmu_Ogdh_0017000	mm9_circ_001335	MMU_CIRCpedia_25484	4
cRNA_0105	chr11	8428225	8429665	1441	-	JNC-JNC	ENSMUSG00000020422.15	TRUE	1	NA	NA	mmu-Tns3_0011	mmu_Tns3_0011000	mm9_circ_005801	MMU_CIRCpedia_31802	4
cRNA_0106	chr11	8468199	8469570	1372	-	JNC-JNC	ENSMUSG00000020422.15	TRUE	1	NA	NA	mmu-Tns3_0010	mmu_Tns3_0019000	mm9_circ_000787	MMU_CIRCpedia_31996	4
cRNA_0107	chr11	12259614	12328359	68746	-	JNC-JNC	ENSMUSG00000020173.18	TRUE	1	NA	NA	mmu-Cobl_0007	mmu_Cobl_0014000		MMU_CIRCpedia_5972	3
cRNA_0108	chr11	12293744	12328359	34616	-	JNC-JNC	ENSMUSG00000020173.18	TRUE	1	NA	NA	mmu-Cobl_0002	mmu_Cobl_0018000	mm9_circ_018049	MMU_CIRCpedia_6080	4
cRNA_0109	chr11	12315105	12328359	13255	-	JNC-JNC	ENSMUSG00000020173.18	TRUE	1	NA	NA	mmu-Cobl_0001	mmu_Cobl_0023000		MMU_CIRCpedia_6175	3
cRNA_0110	chr11	20675685	20677639	1955	-	FULLEX	ENSMUSG00000049659.16	TRUE	NA	NA	NA	mmu-Aftph_0006	mmu_Aftph_0034000	mm9_circ_005474	MMU_CIRCpedia_13042	4
cRNA_0111	chr11	21213199	21228060	14862	+	JNC-JNC	ENSMUSG00000020128.16	TRUE	1	NA	NA	mmu-Vps54_0031	mmu_Vps54_0015000	mm9_circ_017735	MMU_CIRCpedia_13188	4
cRNA_0112	chr11	22003432	22018506	15075	-	JNC-JNC	ENSMUSG00000042302.15	TRUE	1	NA	NA	mmu-Ehbp1_0016,mmu-Ehbp1_0007	mmu_Ehbp1_0021000,mmu_Ehbp1_0022000	mm9_circ_008302	MMU_CIRCpedia_13445	4
cRNA_0113	chr11	23657523	23675574	18052	+	JNC-JNC	ENSMUSG00000020280.13	TRUE	1	NA	NA	mmu-Pus10_0002	mmu_Pus10_0009000		MMU_CIRCpedia_13972	3
cRNA_0114	chr11	26484211	26500075	15865	-	JNC-JNC	ENSMUSG00000064090.15	TRUE	1	NA	NA	mmu-Vrk2_0001	mmu_Vrk2_0010000		MMU_CIRCpedia_14788	3
cRNA_0115	chr11	28817466	28818039	574	+	JNC-JNC	ENSMUSG00000020467.16	TRUE	1	NA	NA	mmu-Efemp1_0001	mmu_Efemp1_0001000		MMU_CIRCpedia_15312	3
cRNA_0116	chr11	31005458	31011586	6129	+	JNC-JNC	ENSMUSG00000020305.14	TRUE	1	NA	NA	mmu-Asb3_0003	mmu_Asb3_0025000		MMU_CIRCpedia_16024	3
cRNA_0117	chr11	43595361	43596304	944	+	FULLEX	ENSMUSG00000044950.8	TRUE	NA	NA	NA	mmu-Pwwp2a_0001	mmu_Pwwp2a_0010000	mm9_circ_012559	MMU_CIRCpedia_20143	4
cRNA_0118	chr11	50189956	50191881	1926	-	JNC-JNC	ENSMUSG00000020368.16	TRUE	1	NA	NA	mmu-Canx_0019	mmu_Canx_0024000	mm9_circ_015101	MMU_CIRCpedia_21794	4
cRNA_0119	chr11	50192585	50199756	7172	-	JNC-JNC	ENSMUSG00000020368.16	TRUE	1	NA	NA	mmu-Canx_0021,mmu-Canx_0065	mmu_Canx_0040000,mmu_Canx_0035000		MMU_CIRCpedia_21797	3
cRNA_0120	chr11	50195153	50199756	4604	-	JNC-JNC	ENSMUSG00000020368.16	TRUE	1	NA	NA	mmu-Canx_0017	mmu_Canx_0041000		MMU_CIRCpedia_21800	3
cRNA_0121	chr11	62037132	62052736	15605	+	JNC-JNC	ENSMUSG00000042331.14	TRUE	1	NA	NA	mmu-Specc1_0007	mmu_Specc1_0035000	mm9_circ_001346	MMU_CIRCpedia_25187	4
cRNA_0122	chr11	62174423	62183044	8622	+	JNC-JNC	ENSMUSG00000042298.19	TRUE	1	NA	NA	mmu-Ttc19_0003	mmu_Ttc19_0002000		MMU_CIRCpedia_25214	3
cRNA_0123	chr11	62324389	62329341	4953	-	JNC-JNC	ENSMUSG00000018501.18	TRUE	1	NA	NA	mmu-Ncor1_0002	mmu_Ncor1_0242000		MMU_CIRCpedia_25291	3
cRNA_0124	chr11	65109355	65124010	14656	-	JNC-JNC	ENSMUSG00000020542.19	TRUE	1	NA	NA	mmu-Myocd_0001	mmu_Myocd_0017000		MMU_CIRCpedia_26108	3
cRNA_0125	chr11	68720741	68736250	15510	-	JNC-JNC	ENSMUSG00000018736.15	TRUE	1	NA	NA	mmu-Ndel1_0012	mmu_Ndel1_0003000		MMU_CIRCpedia_27059	3
cRNA_0126	chr11	69540554	69542549	1996	+	JNC-JNC	ENSMUSG00000018765.7	TRUE	1	NA	NA	mmu-Fxr2_0001	mmu_Fxr2_0014000	mm9_circ_005799	MMU_CIRCpedia_27231	4
cRNA_0127	chr11	70765572	70775794	10223	+	JNC-JNC	ENSMUSG00000020817.17	TRUE	1	NA	NA	mmu-Rabep1_0026	mmu_Rabep1_0010000	mm9_circ_001848	MMU_CIRCpedia_27619	4
