Sex	Tissue	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Chr	start	end	width	strand	gene_id.y	gene_type	gene_name	mgi_id
Female	Bone	ENSMUSG00000043801	135.7589769964407	2.148732561869349	1.1250401747580852	1.909916294617111	0.05614399169520264	0.9999520394544122	chr17	17565718	17566402	685	-	ENSMUSG00000043801.8	processed_pseudogene	Oaz1-ps	MGI:108188
Female	Bone	ENSMUSG00000044285	251.3704582026593	2.827679471051805	1.0240692724626748	2.761218940054534	0.005758605799891134	0.9999520394544122	chr14	46321483	46322457	975	+	ENSMUSG00000044285.10	transcribed_processed_pseudogene	Ubb-ps	MGI:3037679
Female	Bone	ENSMUSG00000048603	17.381860917458162	7.2517501760441165	2.4850054201922216	2.918202961297032	0.0035205511759704307	0.9999520394544122	chr13	98452930	98463737	10808	+	ENSMUSG00000048603.10	lncRNA	Gm9828	MGI:3642913
Female	Bone	ENSMUSG00000048949	7.9148578088910515	6.102156595351865	3.1399363484569567	1.943401368104362	0.05196768210496095	0.9999520394544122	chrX	102206716	102209013	2298	-	ENSMUSG00000048949.9	processed_pseudogene	Gm6206	MGI:3644890
Female	Bone	ENSMUSG00000054945	10.338464711344685	2.223389555955787	1.8886463375428921	1.177239757258308	0.23909982426823817	0.9999520394544122	chr5	90514479	90516352	1874	+	ENSMUSG00000054945.6	lncRNA	Gm9958	MGI:3641866
Female	Bone	ENSMUSG00000063171	13.112995447697271	3.2605672139161483	1.7201179797715882	1.8955485915850459	0.05801976059140441	0.9999520394544122	chr6	148256098	148257431	1334	+	ENSMUSG00000063171.6	transcribed_processed_pseudogene	Rps4l	MGI:1913434
Female	Bone	ENSMUSG00000066724	89.25705152576599	2.159103724937409	1.011814581270924	2.1338926764876165	0.032851567111570064	0.9999520394544122	chr7	23646064	23646716	653	-	ENSMUSG00000066724.5	transcribed_processed_pseudogene	Gm10175	MGI:3704287
Female	Bone	ENSMUSG00000067038	33.06709305075865	8.271561545312956	5.3692576297551495	1.5405410050495487	0.1234285356236116	0.9999520394544122	chr19	59310803	59311198	396	+	ENSMUSG00000067038.7	processed_pseudogene	Rps12-ps3	MGI:3704503
Female	Bone	ENSMUSG00000067870	18.096140743454345	7.348316301128868	2.79667067457175	2.627522921430177	0.008600904706024459	0.9999520394544122	chr15	90648482	90648859	378	-	ENSMUSG00000067870.6	processed_pseudogene	Rpl31-ps8	MGI:3647726
Female	Bone	ENSMUSG00000070343	17.278199446700274	7.2618851028900515	2.7839656479470016	2.608467927125908	0.009094853423264515	0.9999520394544122	chr3	146544566	146545102	537	-	ENSMUSG00000070343.4	processed_pseudogene	Gm10288	MGI:3704227
Female	Bone	ENSMUSG00000070960	12.88861249479663	7.066935519797773	2.596177463675488	2.7220541040337416	0.006487751983257165	0.9999520394544122	chr1	31654230	31655742	1513	+	ENSMUSG00000070960.5	processed_pseudogene	Gm19680	MGI:5011865
Female	Bone	ENSMUSG00000071793	8.791219636090307	6.246123577098752	3.1001295232181296	2.0147943917565363	0.04392619692276559	0.9999520394544122	chr8	20030715	20045888	15174	+	ENSMUSG00000071793.14	transcribed_unprocessed_pseudogene	2610005L07Rik	MGI:1914283
Female	Bone	ENSMUSG00000072940	9.589394774465223	6.457088861260254	2.755958525913137	2.342955744996494	0.01913165224407453	0.9999520394544122	chr6	86311013	86311222	210	+	ENSMUSG00000072940.6	processed_pseudogene	Gm10443	MGI:3704272
Female	Bone	ENSMUSG00000073478	11.389181211413614	2.69659197204899	1.963598622361298	1.373290824988582	0.1696619537603465	0.9999520394544122	chr1	190956601	190958337	1737	+	ENSMUSG00000073478.8	lncRNA	D730003I15Rik	MGI:1925971
Female	Bone	ENSMUSG00000081506	146.23409551844813	2.6100200185612334	0.9572206356343411	2.7266650147294387	0.0063977953684527834	0.9999520394544122	chr3	113089565	113114013	24449	-	ENSMUSG00000081506.2	unprocessed_pseudogene	Amy2-ps1	MGI:104546
Female	Bone	ENSMUSG00000083365	534.9975632660176	2.344493487624806	0.9883682750354869	2.3720849270891744	0.017688024514138555	0.9999520394544122	chr4	122349003	122349228	226	+	ENSMUSG00000083365.2	processed_pseudogene	Gm12895	MGI:3649907
Female	Bone	ENSMUSG00000085042	10.864420559359006	3.2166214381152	1.9488099177358793	1.6505567879356136	0.0988291086153629	0.9999520394544122	chr5	135040849	135042107	1259	-	ENSMUSG00000085042.10	transcribed_unitary_pseudogene	Abhd11os	MGI:1917062
Female	Bone	ENSMUSG00000087207	7.284069145709876	2.7484256572904013	2.3703069610160217	1.1595230923645015	0.24624302931265027	0.9999520394544122	chr4	147337754	147343795	6042	+	ENSMUSG00000087207.10	transcribed_unprocessed_pseudogene	Gm13147	MGI:3651740
Female	Bone	ENSMUSG00000090136	50.11672851466963	2.180717125603861	1.176991630359896	1.852788982821441	0.06391260995576817	0.9999520394544122	chr9	37164218	37164661	444	+	ENSMUSG00000090136.5	transcribed_processed_pseudogene	Gm10177	MGI:3704330
Female	Bone	ENSMUSG00000097493	15.63412813157037	2.204924856234016	1.5881820109311706	1.3883325973080638	0.16503579049808417	0.9999520394544122	chr15	60694120	60703642	9523	+	ENSMUSG00000097493.4	lncRNA	9930014A18Rik	MGI:2444091
Female	Bone	ENSMUSG00000103049	8.52823211635608	2.943807697539257	2.1132682551056052	1.3930118386187311	0.16361621075222127	0.9999520394544122	chr16	77413199	77415222	2024	+	ENSMUSG00000103049.2	TEC	Gm37311	MGI:5610539
Female	Bone	ENSMUSG00000104498	10.087749640939494	2.2163676199903115	2.0433874646276178	1.084653624609671	0.2780750948935572	0.9999520394544122	chr1	32524396	32526023	1628	+	ENSMUSG00000104498.2	TEC	Gm37110	MGI:5610338
Female	Bone	ENSMUSG00000105987	83.5309670291955	2.184310583049847	0.899784101155623	2.4275941086805863	0.015199342960832687	0.9999520394544122	chr5	23903294	23917684	14391	-	ENSMUSG00000105987.6	lncRNA	AI506816	MGI:2140929
Female	Bone	ENSMUSG00000106037	11.691787124407838	6.655079128219092	2.9564389989880095	2.25104564325431	0.024382646637441878	0.9999520394544122	chr3	119503165	119503510	346	+	ENSMUSG00000106037.2	processed_pseudogene	Gm4332	MGI:3782515
Female	Bone	ENSMUSG00000115222	9.034807104128607	3.2529585645861725	2.421128376845533	1.343571285065199	0.17908706022097118	0.9999520394544122	chr14	55881061	55883809	2749	+	ENSMUSG00000115222.2	lncRNA	Gm49747	MGI:6215240
Female	Bone	ENSMUSG00000117465	18.851528532653948	3.0361228425753257	1.5137807643596162	2.0056555837262966	0.04489300714547074	0.9999520394544122	chr18	30400302	30405186	4885	+	ENSMUSG00000117465.2	lncRNA	Gm49980	MGI:6275257
Female	Bone	ENSMUSG00000117725	11.01936981805743	2.6967613794522474	1.804449501906182	1.4945064279180138	0.13504330310125526	0.9999520394544122	chr17	30795274	30801568	6295	+	ENSMUSG00000117725.2	lncRNA	Gm50240	MGI:6303048
Female	Bone	ENSMUSG00000121084	10.623179186221366	3.123197983410297	1.9674553176717227	1.587430197452349	0.11241524454141658	0.9999520394544122	chr8	117882952	117884572	1621	-	ENSMUSG00000121084.1	lncRNA	ENSMUSG00000121084	NA
Male	Brain	ENSMUSG00000091542	234.29952360591835	2.918649105650978	0.5863430652564087	4.977715741167073	6.433905097970097e-7	2.377393585792787e-4	chr4	42206998	42235313	28316	+	ENSMUSG00000091542.2	lncRNA	Gm17167	MGI:4937994
Female	Brain	ENSMUSG00000118380	15.931980432354889	2.7400805438935163	0.7114489407383657	3.8514085649628886	1.1744037870409959e-4	0.03019094153431957	chr18	35115975	35242498	126524	+	ENSMUSG00000118380.2	lncRNA	Gm36037	MGI:5595196
Female	Brain	ENSMUSG00000115774	18.278769865849522	2.40201365284013	0.9316458454786194	2.5782475867813597	0.009930281925174318	0.29991881636063794	chr14	118446790	118450557	3768	+	ENSMUSG00000115774.2	lncRNA	4933431J24Rik	MGI:1918548
Male	Brain	ENSMUSG00000106831	22.429136547099343	2.3956936334515855	1.4001674954331826	1.7110050342301424	0.08708018350095689	0.547593897505076	chr5	76380459	76380917	459	-	ENSMUSG00000106831.2	processed_pseudogene	Ube2n-ps1	MGI:894296
Male	Brain	ENSMUSG00000101249	3185.2129933957403	2.018687038687962	1.8080425373896338	1.1165041734042644	0.26420638477357544	0.7742655173867493	chr1	24654787	24655278	492	-	ENSMUSG00000101249.2	unprocessed_pseudogene	Gm29216	MGI:5579922
Female	Brain	ENSMUSG00000109494	21.591529131870768	2.309131196488588	1.8909447306597784	1.2211521357807735	0.22202842289494454	0.8117444737498555	chr7	50607790	50610397	2608	-	ENSMUSG00000109494.2	processed_pseudogene	Gm21033	MGI:5434388
Female	Brain	ENSMUSG00000081485	9.208938231083305	2.3590649112268944	2.3796203832963445	0.9913618692234533	0.3215089123659179	NA	chr11	75490589	75490780	192	-	ENSMUSG00000081485.6	processed_pseudogene	Gm12338	MGI:3650622
Female	Brain	ENSMUSG00000090585	11.762566121163662	3.161058578702056	0.850426289807083	3.717028291092852	2.0157987806511624e-4	NA	chr14	14961404	15057313	95910	-	ENSMUSG00000090585.9	lncRNA	4933406F09Rik	MGI:1918289
Female	Brain	ENSMUSG00000097247	11.631238756567296	2.0182134172728206	0.7399356221502333	2.727552717908006	0.006380606106168397	NA	chr7	74958444	74981167	22724	+	ENSMUSG00000097247.3	lncRNA	1500012K07Rik	MGI:1916204
Female	Brain	ENSMUSG00000100801	88.86298340261028	2.058179373871826	0.9163813160243706	2.2459857461968267	NA	NA	chr5	5831615	5833555	1941	-	ENSMUSG00000100801.2	processed_pseudogene	Gm15459	MGI:3705702
Female	Brain	ENSMUSG00000107176	8.30923602538721	2.656591728120803	1.1076384751548074	2.398428537569091	0.01646558904078114	NA	chr6	66852305	66852727	423	-	ENSMUSG00000107176.2	processed_pseudogene	Gm9794	MGI:3642653
Female	Brain	ENSMUSG00000109093	8.649254620791021	2.0467579628308923	0.857796015155007	2.386066065439853	0.017029691481479696	NA	chr7	119206904	119242692	35789	-	ENSMUSG00000109093.2	lncRNA	Gm39079	MGI:5621964
Female	Brain	ENSMUSG00000111202	6.990068226622518	6.192403872381924	1.2267348530367566	5.047874735973106	4.4675189392802024e-7	NA	chr10	50301140	50301426	287	-	ENSMUSG00000111202.2	lncRNA	Gm48275	MGI:6097702
Female	Brain	ENSMUSG00000114538	9.611398281522298	2.098863998813772	1.1597765509436513	1.809714118729192	0.07034013190166258	NA	chr14	7404532	7454574	50043	+	ENSMUSG00000114538.2	lncRNA	Gm31517	MGI:5590676
Male	Brown_adipose	ENSMUSG00000091542	32.74260469841268	3.6179988473349702	0.6564383251256687	5.511559439559443	3.5566827407667976e-8	1.5432323767954694e-5	chr4	42206998	42235313	28316	+	ENSMUSG00000091542.2	lncRNA	Gm17167	MGI:4937994
Male	Brown_adipose	ENSMUSG00000101249	6349.979077861648	6.777181791844164	1.2619403656793609	5.370445368229182	7.85424253498024e-8	2.99484647932292e-5	chr1	24654787	24655278	492	-	ENSMUSG00000101249.2	unprocessed_pseudogene	Gm29216	MGI:5579922
Female	Brown_adipose	ENSMUSG00000078300	17.155914996355495	2.518720253892426	0.7569083374585254	3.3276423699460684	8.758422343509299e-4	0.10853405687996925	chr15	12574975	12575976	1002	+	ENSMUSG00000078300.4	processed_pseudogene	Gm2606	MGI:3780774
Female	Brown_adipose	ENSMUSG00000102545	24.22137833841123	2.1444137674686528	0.648197517627923	3.308272107113475	9.387355142957687e-4	0.11231646726647392	chr3	79194480	79197155	2676	+	ENSMUSG00000102545.2	lncRNA	6430573P05Rik	MGI:2686494
Female	Brown_adipose	ENSMUSG00000113890	14.403368641406079	2.287129970250431	0.8384132434457133	2.7279268166742896	0.0063733746067044525	0.329638871186601	chr12	62582132	62583935	1804	+	ENSMUSG00000113890.2	processed_pseudogene	Gm48368	MGI:6097839
Female	Brown_adipose	ENSMUSG00000115925	16.95419980521687	2.2017051960743115	0.8590602094009622	2.562923031448051	0.010379505565366624	0.4001587715047871	chr15	84011505	84020460	8956	+	ENSMUSG00000115925.2	lncRNA	Gm33432	MGI:5592591
Female	Brown_adipose	ENSMUSG00000111728	10.03429283919221	2.9003232743954928	1.1439783821254335	2.5352955263078405	0.011235249806541591	0.41226048697649326	chr9	17999341	17999652	312	+	ENSMUSG00000111728.2	processed_pseudogene	Gm48850	MGI:6098587
Female	Brown_adipose	ENSMUSG00000107094	18.993378767033796	2.000805698383549	0.8255601999079076	2.4235733488687337	0.015368649327776584	0.48597684414751163	chr6	3583814	3586303	2490	+	ENSMUSG00000107094.2	TEC	Gm43294	MGI:5663431
Female	Brown_adipose	ENSMUSG00000085939	10.086203615556451	2.4375685844150445	1.0063943014610846	2.4220810679036826	0.015431907500722951	0.4867714640966678	chr18	50267793	50268667	875	+	ENSMUSG00000085939.4	transcribed_processed_pseudogene	Cd63-ps	MGI:105972
Female	Brown_adipose	ENSMUSG00000089940	83.04701524787197	3.3904736129342483	1.5758683407960852	2.1514954804038227	0.031437112170301984	0.6672845679181978	chr13	89887579	90035285	147707	+	ENSMUSG00000089940.2	lncRNA	Gm4117	MGI:3782293
Male	Brown_adipose	ENSMUSG00000060419	50.53901334825714	2.0085475036180136	2.1339856779907076	0.9412188302543799	0.346592728889319	0.6905209757860739	chr5	129205141	129205581	441	-	ENSMUSG00000060419.9	processed_pseudogene	Rps16-ps2	MGI:3704259
Female	Brown_adipose	ENSMUSG00000085682	8.11784341873259	2.1525237415874066	1.3202027684592883	1.6304493468828722	0.10300656244264712	0.9181940142206162	chr2	166341956	166364293	22338	-	ENSMUSG00000085682.3	transcribed_processed_pseudogene	Gm14267	MGI:3649851
Female	Brown_adipose	ENSMUSG00000081344	12.444329273464636	2.0268404105744486	3.2165234204824604	0.6301338885542559	0.5286069892032954	0.9961588033488538	chr2	172351441	172351611	171	-	ENSMUSG00000081344.6	processed_pseudogene	Gm14303	MGI:3651379
Male	Gonadal_adipose	ENSMUSG00000091199	121.48882786743992	5.492064317937644	0.649063417965157	8.461521888193165	2.6391052005581496e-17	2.764198787064606e-14	chr1	85286380	85305006	18627	-	ENSMUSG00000091199.11	lncRNA	Gm2619	MGI:3780787
Male	Gonadal_adipose	ENSMUSG00000121342	29.77648967834102	3.461671150557832	0.42719717295228693	8.10321642962853	5.352489503962811e-16	4.425945399829459e-13	chr1	85177334	85180892	3559	+	ENSMUSG00000121342.1	lncRNA	ENSMUSG00000121342	NA
Male	Gonadal_adipose	ENSMUSG00000089652	51.7080844124688	4.85079523714244	0.629970835436322	7.700031436824764	1.3603276000280108e-14	6.678783413762524e-12	chr1	85304450	85320336	15887	+	ENSMUSG00000089652.2	lncRNA	Gm16025	MGI:3802144
Female	Gonadal_adipose	ENSMUSG00000111763	49.87602447465778	3.0549375371671568	0.4128725896037091	7.399225848582979	1.3698070773633203e-13	1.2622772217902996e-10	chr9	15292663	15298721	6059	+	ENSMUSG00000111763.2	lncRNA	Gm34973	MGI:5594132
Male	Gonadal_adipose	ENSMUSG00000076749	20.821030046854318	2.36304317099	0.3566087617298464	6.626430487931068	3.4390130236366454e-11	6.753791701794416e-9	chr13	19398273	19401194	2922	+	ENSMUSG00000076749.3	TR_C_gene	Trgc1	MGI:98625
Male	Gonadal_adipose	ENSMUSG00000072109	73.40593290487503	2.1237914625543923	0.32200729753957624	6.595476185732617	4.23893078170976e-11	8.121687989200249e-9	chr1	85083667	85091756	8090	+	ENSMUSG00000072109.13	lncRNA	A530040E14Rik	MGI:3612703
Female	Gonadal_adipose	ENSMUSG00000120754	26.778408910926625	2.8375763226094612	0.4779560208248576	5.936898373436881	2.9046458712502627e-9	9.635872213285623e-7	chr12	113389913	113390546	634	-	ENSMUSG00000120754.1	lncRNA	ENSMUSG00000120754	NA
Male	Gonadal_adipose	ENSMUSG00000121478	30.403955771518426	2.972993084069455	0.5635056083274703	5.275889077472603	1.3211398578678578e-7	7.334426963590782e-6	chr1	85250107	85267563	17457	+	ENSMUSG00000121478.1	lncRNA	ENSMUSG00000121478	NA
Male	Gonadal_adipose	ENSMUSG00000111763	18.848073316374666	3.0179921052880094	0.5955342383441796	5.067705449948972	4.026398177787534e-7	1.866039580271975e-5	chr9	15292663	15298721	6059	+	ENSMUSG00000111763.2	lncRNA	Gm34973	MGI:5594132
Female	Gonadal_adipose	ENSMUSG00000053541	36.46149830518586	2.2092132841921424	0.4419247435825644	4.999071258790915	5.760711205815953e-7	1.1375347234627287e-4	chr7	106017055	106023676	6622	-	ENSMUSG00000053541.4	unprocessed_pseudogene	Gvin-ps6	MGI:3647753
Female	Gonadal_adipose	ENSMUSG00000079455	19.673572085534353	3.2889349514844457	0.6713923160221493	4.89867827348793	9.648347523674733e-7	1.758649894232888e-4	chr1	85244419	85263212	18794	+	ENSMUSG00000079455.12	transcribed_unprocessed_pseudogene	Gm16026	MGI:3783243
Female	Gonadal_adipose	ENSMUSG00000085786	31.71429249386762	2.231238951654194	0.4598811166931976	4.851773361989833	1.2236240541813966e-6	2.1823927082480457e-4	chr6	128913346	128952034	38689	-	ENSMUSG00000085786.3	lncRNA	Gm15987	MGI:3801849
Female	Gonadal_adipose	ENSMUSG00000085702	24.60546340903982	4.4538424934831395	0.9273120692648401	4.8029596951262405	1.5633736374492975e-6	2.59316785243715e-4	chr3	30066353	30108957	42605	+	ENSMUSG00000085702.10	lncRNA	Mecomos	MGI:4439646
Female	Gonadal_adipose	ENSMUSG00000076490	36.37255752875293	2.571327450451181	0.5460172884872969	4.709241821948286	2.4863993831057893e-6	3.7188781589658635e-4	chr6	41515152	41516815	1664	+	ENSMUSG00000076490.7	TR_C_gene	Trbc1	MGI:4439726
Male	Gonadal_adipose	ENSMUSG00000091542	101.32307074531047	2.9117848379734936	0.6841457225396549	4.256088640245381	2.0803425681597817e-5	4.596942628461087e-4	chr4	42206998	42235313	28316	+	ENSMUSG00000091542.2	lncRNA	Gm17167	MGI:4937994
Female	Gonadal_adipose	ENSMUSG00000076498	54.47740158188322	2.061101377607862	0.4534362099319565	4.54551562592929	5.48009312193499e-6	7.39179572013099e-4	chr6	41523664	41525286	1623	+	ENSMUSG00000076498.3	TR_C_gene	Trbc2	MGI:4835227
Male	Gonadal_adipose	ENSMUSG00000085786	38.11234479985733	2.024030015120374	0.4957602768267164	4.082678886811731	4.451951878531293e-5	8.540246149402337e-4	chr6	128913346	128952034	38689	-	ENSMUSG00000085786.3	lncRNA	Gm15987	MGI:3801849
Female	Gonadal_adipose	ENSMUSG00000121478	28.376822703611328	2.216560639592672	0.49995650859869045	4.433506918042506	9.271253109095242e-6	0.0011117897816302468	chr1	85250107	85267563	17457	+	ENSMUSG00000121478.1	lncRNA	ENSMUSG00000121478	NA
Male	Gonadal_adipose	ENSMUSG00000112327	25.78893479428567	2.336244568995935	0.6014866418262468	3.8841171300206745	1.027023912347322e-4	0.0017406227278197169	chr10	56846178	56858328	12151	-	ENSMUSG00000112327.3	lncRNA	Gm36827	MGI:5595986
Male	Gonadal_adipose	ENSMUSG00000079455	21.65779221008294	2.113517819755995	0.5454944162349482	3.8744994574714187	1.0684408137215502e-4	0.0017934053017499224	chr1	85244419	85263212	18794	+	ENSMUSG00000079455.12	transcribed_unprocessed_pseudogene	Gm16026	MGI:3783243
Male	Heart	ENSMUSG00000092624	61.182557318844594	2.0199055499748573	0.5338804118046561	3.7834419568739106	1.5467440765702076e-4	0.01965396139961877	chr7	8285126	8291933	6808	-	ENSMUSG00000092624.4	transcribed_unprocessed_pseudogene	Gm3654	MGI:3781830
Female	Heart	ENSMUSG00000083365	6012.716690164245	2.225938992446355	0.7061292210073267	3.1523111156212287	0.0016198358279398712	0.04005412229087681	chr4	122349003	122349228	226	+	ENSMUSG00000083365.2	processed_pseudogene	Gm12895	MGI:3649907
Male	Heart	ENSMUSG00000090338	26.137247299380455	3.213170183489704	1.0577917881233174	3.037620654240807	0.0023845392423061445	0.08339324396028462	chr4	42239725	42242073	2349	+	ENSMUSG00000090338.3	unprocessed_pseudogene	Gm17081	MGI:4937908
Female	Heart	ENSMUSG00000100801	148.28195039727507	5.329292888943797	1.9328016135524104	2.757289134888901	0.005828279060503641	0.10562656085284407	chr5	5831615	5833555	1941	-	ENSMUSG00000100801.2	processed_pseudogene	Gm15459	MGI:3705702
Female	Heart	ENSMUSG00000117725	69.5058376700677	2.073552679641068	0.7520522145365044	2.757192438983794	0.005830002964228368	0.10562656085284407	chr17	30795274	30801568	6295	+	ENSMUSG00000117725.2	lncRNA	Gm50240	MGI:6303048
Female	Heart	ENSMUSG00000066443	44.04858673989784	3.0740271338286003	1.3911471713622432	2.2097066342868974	0.02712552902550321	0.2992534143539745	chr9	88272890	88273370	481	+	ENSMUSG00000066443.6	processed_pseudogene	Gm10163	MGI:3704341
Female	Heart	ENSMUSG00000091957	102.2384196649729	3.961161275477469	2.0463799735099664	1.9356919666699315	0.05290543894026771	0.4314686769320667	chr18	61392079	61393059	981	-	ENSMUSG00000091957.5	transcribed_processed_pseudogene	Rps2-ps10	MGI:3645604
Female	Heart	ENSMUSG00000074178	51.72983311647675	2.1098135783397987	1.1696558780607214	1.803790001754918	0.07126423382844659	0.4960801262901533	chr8	87472081	87475283	3203	+	ENSMUSG00000074178.4	lncRNA	Gm10638	MGI:3704316
Female	Heart	ENSMUSG00000064193	41.243204926132876	3.181514259700722	1.8307691815502987	1.7378019532787907	0.08224571638910157	0.5296032802819483	chr2	80667485	80668786	1302	+	ENSMUSG00000064193.9	processed_pseudogene	Gm4735	MGI:3645521
Female	Heart	ENSMUSG00000081684	31.686345963415295	2.2134402229883747	2.3450439771617204	0.9438800485385226	0.3452309485576494	0.8642677846262159	chrX	51987465	51988346	882	+	ENSMUSG00000081684.5	processed_pseudogene	Rps2-ps13	MGI:3705640
Female	Heart	ENSMUSG00000063696	46.08526328715929	2.832116631475832	3.2245476046567747	0.8782989053676218	0.3797815296985054	0.885416929270508	chr8	103591477	103592430	954	-	ENSMUSG00000063696.8	processed_pseudogene	Gm8730	MGI:3644565
Male	Heart	ENSMUSG00000099931	12.373948238411732	2.5583313977356634	1.481837417156106	1.7264589003600204	0.08426488720897282	NA	chr1	74334762	74338026	3265	+	ENSMUSG00000099931.2	lncRNA	Gm29358	MGI:5580064
Male	Heart	ENSMUSG00000120089	46.21182442143778	2.277239299420544	1.2825985086322917	1.775488809704679	NA	NA	chr16	88778140	88778718	579	-	ENSMUSG00000120089.1	lncRNA	ENSMUSG00000120089	NA
Female	Heart	ENSMUSG00000030424	7.929991817925755	5.968186898875248	3.2700597414028447	1.8251002644725127	0.06798590029964428	NA	chr7	39109240	39124196	14957	+	ENSMUSG00000030424.18	transcribed_unprocessed_pseudogene	Zfp939	MGI:3036240
Female	Heart	ENSMUSG00000040323	9.669264227421687	6.335400945590445	2.967146068389974	2.135183371349205	0.0327460346486324	NA	chr1	161553811	161555058	1248	-	ENSMUSG00000040323.14	processed_pseudogene	Gm15429	MGI:3642423
Female	Heart	ENSMUSG00000051198	12.414954644672118	3.023961471128808	3.421196185541363	0.8838901095203643	0.3767555368064943	NA	chr15	46486701	46503254	16554	+	ENSMUSG00000051198.7	lncRNA	4930548G14Rik	MGI:1922531
Female	Heart	ENSMUSG00000062611	18.566053356910466	2.4693962711660005	2.598885525464271	0.9501750835004023	0.3420232969177629	NA	chr14	88360453	88361244	792	-	ENSMUSG00000062611.5	processed_pseudogene	Rps3a2	MGI:3642853
Female	Heart	ENSMUSG00000066362	7.733897642093723	3.081465911707925	2.699069857008956	1.1416769757573932	0.2535883146261876	NA	chr8	87774317	87774854	538	+	ENSMUSG00000066362.6	processed_pseudogene	Rps13-ps1	MGI:3647042
Female	Heart	ENSMUSG00000074635	4.693286224674048	3.5584047145951043	3.1872639925106214	1.1164449267323269	0.26423173177777504	NA	chr13	119623788	119624920	1133	-	ENSMUSG00000074635.4	lncRNA	3110070M22Rik	MGI:1914554
Female	Heart	ENSMUSG00000081434	18.295573870943848	2.0408513287224976	2.180952062614154	0.9357616628566666	0.3493959142278072	NA	chr2	152195535	152196486	952	+	ENSMUSG00000081434.4	processed_pseudogene	Gm14165	MGI:3650537
Female	Heart	ENSMUSG00000083061	15.276150323175418	7.010911068710073	2.741566112552319	2.557265001420344	0.01054988133858388	NA	chr11	49569537	49569884	348	-	ENSMUSG00000083061.2	processed_pseudogene	Gm12191	MGI:3651293
Female	Heart	ENSMUSG00000083079	23.05546827524493	2.490002815837329	2.9300478166447643	0.84981644384516	0.39542714588001976	NA	chr3	113054972	113064043	9072	-	ENSMUSG00000083079.5	unprocessed_pseudogene	Amy2b	MGI:104547
Female	Heart	ENSMUSG00000086943	11.431125620913532	2.31686678264822	1.9743016608697472	1.1735120465975606	0.2405905288683751	NA	chr11	72906682	72909667	2986	-	ENSMUSG00000086943.3	lncRNA	4732414G09Rik	MGI:3045381
